Nom de l'enseigne,Adresse,Ville,Téléphone,Mail,Site internet,Vente de vélos neufs Classique Mécanique,Vente de vélos neufs Classique VAE,Vente de vélos neufs Pliant Mécanique,Vente de vélos neufs Pliant AE,Vente de vélos neufs Cargo Mécanique,Vente de vélos neufs Cargo AE,Vente de vélos neufs autres,Essai possible avant achat,Location Classique Mécanique,Location Classique VAE,Location Pliant Mécanique,Location Pliant AE,Location Cargo Mécanique,Location Cargo AE,Locations autres,Vente de vélos d'occasion,Réparation de vélos hors SAV,Rdv pour réparation,Ventes de remorque,Vente accessoires,Offre pro,Code postal,Ventes,Location,Réparation,latitude,longitude,Type entreprise
BO VELO Centre,3 cours Olivier de Clisson,Nantes,02 40 75 19 89,contact@bovelonantes.com,https://bovelonantes.com/,True,True,,,False,False,False,,False,False,,,,,False,False,True,False,True,True,False,44000.0,True,False,True,47.213274683879725,-1.5542939572514616,Entreprise
BO VELO Ile de Nantes,62 Boulevard Victor Hugo,Nantes,02 28 49 20 43,contact@bovelonantes.com,https://bovelonantes.com/,True,True,,,True,True,False,,False,False,,,False,False,False,False,True,,,,False,44000.0,True,False,True,47.20199845559687,-1.5483584227330098,Entreprise
ECOX Centre,"4, allée du Port Maillard",Nantes,02 28 29 69 45,nantes@ecox.fr,https://www.ecox.fr/,False,True,,,True,True,False,,False,True,,,True,True,True,True,True,,,,True,44000.0,True,True,True,47.21510212592438,-1.5509241105143332,Entreprise
INTERSPORT,"286, route de Vannes",Orvault,02 28 25 61 50,NC,https://www.intersport.fr/,True,True,,,False,False,False,,False,False,,,,,False,False,True,,,,False,44700.0,True,False,True,47.25048339525716,-1.615400786462099,Entreprise
VELO HORIZON,360 Boulevard Marcel Paul,Saint-Herblain,02 40 43 25 76,denis@velo-horizon.fr,https://www.velo-horizon.fr/,True,True,,,True,True,True,,True,True,,,,,,True,True,,,,True,44800.0,True,True,True,47.2229704410955,-1.6397507635696125,Entreprise
MATERIEL VELO.COM,"200, route de Thouaré",Sainte-Luce-sur-Loire,09 72 80 82 84,nantes@materiel-velo.com,https://www.materiel-velo.com/,True,True,,,False,False,False,,False,,,,,,,False,False,,,,False,44980.0,True,False,False,47.25776106131082,-1.4592462381327511,Entreprise
L'ATELIER DU CYCLE,"6, allée des 5 continents",Vertou,02 40 80 60 47,atelierducycle@bbox.fr,https://www.velo-cycle-nantes.fr/,False,False,,,False,False,False,,False,,,,,,,,True,,,,False,44120.0,False,False,True,47.18457163886097,-1.4609309444453715,Entreprise
DECATHLON NANTES PARIDIS,148 rue du Perray,Nantes,02 40 49 08 09,NC,https://www.decathlon.fr/,True,True,,,True,True,False,,False,False,,,False,False,False,True,True,,,,False,44300.0,True,False,True,47.25149020507232,-1.5130535335158657,Entreprise
Beebike,19 Quai Henri Barbusse,Nantes,02 55 54 35 84,contact@beebike-nantes.fr,https://beebike-nantes.fr/,False,False,,,False,False,False,,,,,,,,,True,True,,,True,True,44000.0,True,False,True,47.22601888003337,-1.5530121822466465,Entreprise
BO VELO ILE DE NANTES ATELIER,60 Boulevard Victor Hugo,Nantes,02 28 49 20 45,contact@bovelonantes.com,https://bovelonantes.com/,False,False,,,False,False,False,,False,False,,,False,False,False,False,True,,,,False,44200.0,False,False,True,47.20210392582566,-1.5483910312337164,Entreprise
The Bicycle Club,57 Quai de la Fosse,Nantes,06 95 41 20 13,contact@thebicycleclub.fr,https://thebicycleclub.fr/,True,True,,,False,False,False,,False,False,,,,,False,False,True,,,,False,44000.0,True,False,True,47.20993554292041,-1.5646069451215423,Entreprise
Le dérailleur ligérien,158 rue de la vigne de la lande,Saint-Léger-les-Vignes,07 88 56 93 33,lederailleurlegerien@gmail.com,NC,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,44710.0,False,False,True,47.14717890042296,-1.710828943209963,Entreprise
URBAN CYCLE,35 Chaussée de la Madeleine,Nantes,02 51 89 92 70,contact@urbancycle-nantes.fr,https://www.urbancycle-nantes.com/,True,True,False,False,True,True,False,False,True,True,False,False,True,True,True,True,True,False,False,False,True,44000.0,True,True,True,47.21004892632463,-1.5507001263916145,Entreprise
L’ATELIER DE LA POULE NOIRE,"9, passage de la Poule Noire",Nantes,09 72 55 87 27,contact@la-poule-noire.fr,https://www.la-poule-noire.fr/,False,False,,,False,False,False,,False,False,,,False,False,False,False,True,,,,False,44000.0,False,False,True,47.210860505191405,-1.5504901409658949,Entreprise
L’ATELIER DU POUPOUPIDOU,21 quai Ernest Renaud,Nantes,06 79 35 83 89,atelier@lepoupoupidou.fr,https://lepoupoupidou.fr/,True,True,,,True,True,False,,False,False,,,False,False,False,False,True,,,,False,44100.0,True,False,True,47.20478181085909,-1.5750691302674888,Entreprise
CYCLES EXPERT Rezé,13 pl pierre semard,Rezé,09 81 00 63 81,cycles.expert@gmail.com,https://www.cyclesexpert.com/,True,True,,,False,False,False,,True,True,,,,,True,True,True,,,,False,44400.0,True,True,True,47.18979405162708,-1.547274021796312,Entreprise
VELOLAND SAUTRON,12 bis rue de Nantes,Sautron,02 40 40 32 62,jegousportconcept@gmail.com,https://www.veloland.com/,True,True,,,False,False,False,,False,,,,,,,False,False,,,,False,44880.0,True,False,False,47.25989376802237,-1.6560319671215311,Entreprise
Naobike,21 Rue de Châteaulin,Nantes,02 59 50 37 37,contact@naobike.com,https://naobike.com/,False,False,,,False,False,False,,False,False,,,False,False,False,False,True,,,,False,44000.0,False,False,True,47.22812475927645,-1.5582274965536942,Entreprise
Freebikes,8  rue de douelle,Bouaye,02 40 63 72 46,velo.freebikes@gmail.com,http://www.freebikes.fr,False,True,False,False,False,False,False,,,,,,,,,False,,True,,,True,44830.0,True,False,True,47.16510077847034,-1.6782507847556576,Entreprise
Le Vélo qui chante,14  avenue du midi,Nantes,06 82 96 22 91,guillaume@leveloquichante.fr,https://www.facebook.com/leveloquichante/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,44100.0,True,False,False,47.21650565279695,-1.582089267596832,Entreprise
Cycload,48 route de sainte-Luce,Nantes,06 80 83 86 95,contact@cycload.fr,www.cycload.fr,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,44300.0,True,True,True,47.23055572587098,-1.523315275506891,Entreprise
REV' DE CYCLES,"2, rue du Président Aristide Briand",Saint-Sébastien-sur-Loire,02 85 52 88 74,revdecycles@gmail.com,https://www.rev-de-cycles.fr/,True,True,,,True,True,False,,False,,,,,,,True,True,,,,False,44230.0,True,False,True,47.19281140512821,-1.5186464265889412,Entreprise
Service Cycle Nantais,172 Rue Paul Bellamy,Nantes,02 40 02 91 43,servicecycle.nantais@gmail.com,https://www.servicecycle-nantes.fr/,True,True,,,False,False,False,,False,False,,,,,,False,True,,,True,True,44000.0,True,False,True,47.23050080872069,-1.56338824563849,Entreprise
Pignon sur roue,5 rue de Miribel,Nantes,07 80 99 84 43,contact@pignon-sur-roue.fr,https://www.pignon-sur-roue.fr/,False,False,,,False,False,False,,False,False,,,False,False,False,False,True,,,,False,44300.0,False,False,True,47.23835878660432,-1.5399640471692968,Entreprise
Ridy,19 Quai Ferdinand Favre,Nantes,09 83 33 25 66,atelier-nantes@ridy.fr,https://www.ridy.fr,False,False,,,False,False,False,,False,False,,,False,False,False,False,True,,,,True,44000.0,False,False,True,47.21486583135252,-1.5442416749016843,Entreprise
SARDINES A VELO Atelier,13 rue de la Tour d’Auvergne,Nantes,09 81 67 30 60,info@sardinesavelo.com,http://www.sardinesavelo.com,True,True,,,True,True,True,,True,True,,,True,True,True,False,True,,,,True,44000.0,True,True,True,47.206546748529234,-1.5542441591782823,Entreprise
Le Vélo de Papy,2 mail Michel Henri,Carquefou,06 62 20 58 30,levelodepapy@gmail.com,https://levelodepapy.com/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,44470.0,True,False,True,47.288452296205215,-1.4817665232729595,Entreprise
Nathy Cycle,9 rue Charles Péguy,Couëron,06 36 06 04 28,contact@nathycycle.com,www.nathycycle.com/,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,44220.0,True,False,True,47.21451665325214,-1.7107352676339755,Entreprise
Etnicycles,Allée de maubreuil,Carquefou,06 24 32 67 05,contact@etnicycles.com,www.etnicycles.com/,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,44470.0,True,False,False,47.2926782014118,-1.4703525635006005,Entreprise
Ilicycles,Allée de maubreuil,Carquefou,07 68 99 53 62,michel@ilicycles.com,https://ilicycles.com,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,44470.0,True,False,False,47.293016575418726,-1.469794664075508,Entreprise
INTERSPORT,"1, rue de la Terre Adélie",Basse-Goulaine,02 40 13 31 31,NC,https://www.intersport.fr/,True,True,,,False,False,,,False,False,False,False,False,False,False,False,True,,,,False,44115.0,True,False,True,47.18817635820663,-1.4733432271353144,Entreprise
CYCLABLE NANTES,"25, quai de Versailles",Nantes,02 28 24 54 03,nantes@cyclable.com,https://www.cyclable.com/,True,True,,,True,True,False,,False,False,,,False,False,False,False,True,,,False,True,44000.0,True,False,True,47.22433337062829,-1.553972783221106,Entreprise
BIKE CENTER,"8, boulevard du Maréchal Alphonse Juin",Nantes,02 85 52 35 98,magasin@bike-center.fr,https://www.bikecenter.fr/,True,True,,,True,,False,,False,False,,,False,False,,False,True,,,,True,44100.0,True,False,True,47.1979764497278,-1.5944157373121524,Entreprise
Intersport,"3, place Bretagne",Nantes,02 40 35 05 00,NC,https://stores.go-sport.com,True,True,,,False,False,False,,False,False,,,,,False,False,True,,,,False,44000.0,True,False,True,47.21722851084444,-1.5589404290673774,Entreprise
Nantes Bike solution,9 rue Maréchal Joffre,Nantes,02 28 30 72 29,nantesbike@gmail.com,http://nantesbikesolutions.com/,True,True,,,True,True,True,,False,False,,,False,False,False,True,True,,,,True,44000.0,True,False,True,47.222804544553526,-1.545900622300711,Entreprise
DECATHLON ATLANTIS,Centre commercial Atlantis,Saint-Herblain,02 40 92 00 00,NC,https://www.decathlon.fr/,True,True,,,True,True,False,,True,,,,,,,True,True,,,,False,44800.0,True,True,True,47.22384105388659,-1.627281984527037,Entreprise
DECATHLON,Rue des Grands Châtaigniers,Vertou,02 51 71 23 23,NC,https://www.decathlon.fr/,True,True,,,True,True,False,,True,True,,,,,,False,True,,,,False,44120.0,True,True,True,47.17893574634949,-1.5021481097850204,Entreprise
1 Jour 1 Vélo,"1, L'étang du Fief",Sautron,07 71 79 43 11,info@1jour1velo.fr,https://1jour1velo.fr/,False,False,,,False,False,False,,False,True,False,False,False,False,True,False,False,,,,True,44880.0,False,True,False,47.28084589342359,-1.6747529037419109,Entreprise
Roues Libres,3 rue des Sept Maries,Rezé,06 70 07 56 81,contact@atelier-roues-libres.fr,www.atelier-roues-libres.fr,False,False,,,False,False,False,,,,,,,,,True,True,,,,True,44400.0,True,False,True,47.19195183198859,-1.5848919029014925,Entreprise
Cycle Loire Carquefou,1impasse Vieilleville,Carquefou,02 40 97 16 10,cycledeloirecarquefou@gmail.com,https://www.cycledeloire.fr/,True,True,,,True,True,,,True,True,,,,,,True,True,True,,,False,44470.0,True,True,True,47.29318019053639,-1.47466388175302,Entreprise
Atelier de la Close,153 Bd Robert Schuman,Nantes,06 52 69 56 94,ollivier.claude@gmail.com,NC,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,44000.0,True,False,True,47.24125200937209,-1.5733466314150284,Entreprise
Ecox Nantes Est,171 route de Saint-Joseph,Nantes,09 79 69 14 86,nantes.est@ecox.fr,https://www.ecox.fr/nos-magasins/nantes-est,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,44000.0,True,False,True,47.24211065171993,-1.5347117163973527,Entreprise
[NOGEOM] L'atelier d'Alice,Atelier Nomade,Nantes,07 65 52 06 12,velo@atelier-alice.fr,http://atelier-alice.fr/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,True,47.23866276394587,-1.548906294149596,Entreprise
MONDOVELO Orvault,121 route de Rennes,Orvault,02 40 40 47 03,mondovelo.orvault@outlook.fr,https://www.mondovelo.fr/magasins/122-mondovelo-orvault,True,True,,,False,False,False,,False,False,,,,,False,False,True,,,,False,44700.0,True,False,True,47.255074262778834,-1.5775113644836838,Entreprise
ATAO VELO,"7, rue du Lamineur",Saint-Herblain,02 40 92 89 00,mobilite@atao-insertion.fr,http://www.atao-insertion.fr/,False,False,False,False,False,False,False,,True,,,,,,,True,True,,,True,True,44800.0,True,True,True,47.21891540666932,-1.6451227005967808,Entreprise
Intersport,"2, rue Pierre Mendès France",Saint-Sébastien-sur-Loire,02 40 34 71 65,NC,https://stores.go-sport.com,True,True,,,False,False,False,,False,,,,,,,False,True,,,,False,44230.0,True,False,True,47.1920520195351,-1.4930456001416796,Entreprise
MOODWHEELS,21 Allée du bois de la bauche,Carquefou,07.65.61.80.80,hello@moodwheels.com,https://moodwheels.com/,True,True,,,False,False,False,,False,False,,,False,False,,False,,,,,False,44470.0,True,False,False,47.28541133382162,-1.4854166316839743,Entreprise
C LES VELO,187 route de Vannes,Saint-Herblain,02 40 08 01 01,44nantes@c-lesvelos.fr,www.c-lesvelos.fr,True,True,,,True,True,True,,False,False,,,False,False,False,True,True,,,,True,44800.0,True,False,True,47.24002254632009,-1.591254724567514,Entreprise
La bicyclette jaune,Rue de la Patouillerie,Orvault,06 64 63 81 37,labicyclettejaune@hotmail.com,https://bicyclettejaune.wixsite.com/nantes,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,44300.0,False,False,True,47.24668588424809,-1.5787795434822434,Entreprise
SARDINES A VÉLO Boutique,13 Boulevard de la Prairie au Duc,Nantes,02 51 72 37 42,info@sardinesavelo.com,http://www.sardinesavelo.com,True,True,,,True,True,True,,True,True,,,True,True,True,False,True,,,,True,44200.0,True,True,True,47.20492708771267,-1.5570679918764887,Entreprise
GIANT NANTES,"6, rue Moulin des Rochettes",Nantes,02 40 59 37 92,lemaitre.cycles@wanadoo.fr,http://www.giant-nantes.fr/fr,True,True,,,False,False,False,,False,False,,,,,False,False,True,,,,False,44300.0,True,False,True,47.261450276797305,-1.5819465997821058,Entreprise
INTERSPORT,"10, rond-point de la Corbinerie",Rezé,02 51 11 36 36,univers.cycle.reze@gmail.com,https://www.intersport.fr/,True,True,,,False,False,False,,False,False,,,,,False,False,True,,,,False,44400.0,True,False,True,47.161020887329926,-1.5452281528613776,Entreprise
Les Cycles du Marais,10 Place Alsace-Lorraine,Couëron,06 28 59 91 43,contact@lescyclesdumarais.com,https://lescyclesdumarais.com/,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,44220.0,True,False,False,47.21033165381344,-1.7281872214207867,Entreprise
Place au Vélo,1 rue d'Auvours,Nantes,02 40 20 04 00,salaries@placeauvelo-nantes.fr,www.placeauvelo-nantes.fr,,,,,,,,,,,,,,,,,,,,,,44000.0,False,True,True,47.22137697327141,-1.563522297108175,Association
60B,2 rueGabriel Lippmann,Nantes,06 26 53 31 33,bonjour@60B.fr,www.60B.fr,,,,,,,,,,,,,,,,,,,,,,44000.0,True,True,True,47.23842261289975,-1.5189459071957905,Association
Le Dérailleur,Rue des forges,Nantes,NC,derailleur@zaclys.net,NC,,,,,,,,,,,,,,,,,,,,,,44000.0,False,True,True,47.223117117837006,-1.5187207887413667,Association
Pell’Mele,4 rue Beausoleil,Le Pellerin,NC,NC,https://pellmele.fr,,,,,,,,,,,,,,,,,,,,,,44640.0,False,True,True,47.20225512107693,-1.756050267804763,Association
Vélocampus,"3, chemin de la Censive du Tertre",Nantes,02 40 16 26 45,contact@velocampus.net,http://velocampus.net,,,,,,,,,,,,,,,,,,,,,,44300.0,False,True,True,47.24315444156456,-1.5540859910386715,Association
Atelier de réparations collectives,30 boulevard de Chantenay,Nantes,NC,atrepcol@gmail.com,https://ateliercoopchantenay.wordpress.com/,,,,,,,,,,,,,,,,,,,,,,44000.0,False,True,True,47.19626112231233,-1.5906529450988964,Association
Atelier du pignon,12 quai Magellan,Nantes,07 69 20 33 47,lepignon@spationautes.fr,https://fr-fr.facebook.com/atelierdupignon/,,,,,,,,,,,,,,,,,,,,,,44000.0,False,True,True,47.21123905115654,-1.542135674749498,Association
ATAO,7 rue du Lamineur,Saint-Herblain,02 40 92 89 00,contact@atao.fr ,https://www.atao-insertion.fr/particuliers/le-garage-solidaire/,,,,,,,,,,,,,,,,,,,,,,44800.0,False,True,True,47.218895,-1.645837,Association
La ressourcerie de l’île,"20, boulevard Romanet ",Nantes ,06 38 57 17 95 ,ateliers@laressourceriedelile.com  ,https://laressourceriedelile.com ,,,,,,,,,,,,,,,,,,,,,,44100.0,False,True,True,47.210656,-1.607248,Association
